anno,parte,formato,nome_file,data_aggiornamento
2016,3,PDF,5X1000 - AF 2016 - Elenco ammessi al contributo -3- agg.23.02.2022,23/02/2022
2016,4,PDF,5X1000 - AF 2016 - Elenco ammessi al contributo -4- agg.23.02.2022,23/02/2022
2015,1,PDF,ELENCO TOTALE 2015 - 1 - AGG 9 GEN 2018,09/01/2018
2015,2,PDF,ELENCO TOTALE 2015 - 2 - AGG 9 GEN 2018,09/01/2018
2015,3,PDF,ELENCO TOTALE 2015 - 3 - AGG 9 GEN 2018,09/01/2018
2015,4,PDF,ELENCO TOTALE 2015 - 4 - AGG 9 GEN 2018,09/01/2018
2014,1,PDF,TOTALE ANNO FIN. 2014 - 1 - agg. 29 gennaio 2019,29/01/2019
2014,2,PDF,TOTALE ANNO FIN. 2014 - 2 - agg. 29 gennaio 2019,29/01/2019
2014,3,PDF,TOTALE ANNO FIN. 2014 - 3 - agg. 29 gennaio 2019,29/01/2019
2013,1,PDF,ELENCO TOTALE ANNO 2013 - 1 - agg. 27 dicembre 2017,27/12/2017
2013,2,PDF,ELENCO TOTALE ANNO 2013 - 2 - agg. 27 dicembre 2017,27/12/2017
2013,3,PDF,ELENCO TOTALE ANNO 2013 - 3 - agg. 27 dicembre 2017,27/12/2017
2013,4,PDF,ELENCO TOTALE ANNO 2013 - 4 - agg. 27 dicembre 2017,27/12/2017
2012,1,PDF,ELENCO TOTALE ANNO 2012 - 1 - agg. 28 gennaio 2019,28/01/2019
2012,2,PDF,ELENCO TOTALE ANNO 2012 - 2 - agg. 28 gennaio 2019,28/01/2019
2012,3,PDF,ELENCO TOTALE ANNO 2012 - 3 - agg. 28 gennaio 2019,28/01/2019
2011,1,PDF,ELENCO TOTALE ANNO 2011 - 1 - agg. 31 gennaio 2017,31/01/2017
2011,2,PDF,ELENCO TOTALE ANNO 2011 - 2 - agg. 31 gennaio 2017,31/01/2017
2010,1,PDF,TOTALE ANNO 2010 - 1 - aggiornato al 22 APRILE 2015,22/04/2015
2010,2,PDF,TOTALE ANNO 2010 - 2 - aggiornato al 22 APRILE 2015,22/04/2015
2010,3,PDF,TOTALE ANNO 2010 - 3 - aggiornato al 22 APRILE 2015,22/04/2015
2009,1,PDF,TOTALE ANNO 2009 - 1 - aggiornato al 4 SETTEMBRE 2015,04/09/2015
2009,2,PDF,TOTALE ANNO 2009 - 2 - aggiornato al 4 SETTEMBRE 2015,04/09/2015
2009,3,PDF,TOTALE ANNO 2009 - 3 - aggiornato al 4 SETTEMBRE 2015,04/09/2015
2008,1,PDF,TOTALE ANNO 2008 - 1 - aggiornato al 30 gennaio 2017,30/01/2017
2008,2,PDF,TOTALE ANNO 2008 - 2 - aggiornato al 30 gennaio 2017,30/01/2017
2007,1,PDF,TOTALE ANNO 2007 - 1 - aggiornato al 30 MAGGIO 2017,30/05/2017
2007,2,PDF,TOTALE ANNO 2007 - 2 - aggiornato al 30 MAGGIO 2017,30/05/2017
2006,1,PDF,TOTALE ANNO 2006 - 1 - aggiornato al 30 GIUGNO 2015,30/06/2015
2006,2,PDF,TOTALE ANNO 2006 - 2 - aggiornato al 30 GIUGNO 2015,30/06/2015
