anno,categoria,tipo_file,nome_file,data_aggiornamento
2023,Comuni,ammessi,Elenco degli ammessi,
2023,Comuni,ammessi,Elenco degli ammessi,
2023,ASD,esclusi,Elenchi ammessi ed esclusi per categoria,
2023,ASD,esclusi,Elenchi ammessi ed esclusi ONLUS,
2023,ASD,esclusi,Elenchi ammessi ed esclusi per categoria,
2023,ASD,ammessi,Elenco degli ammessi - 1 - pdf,
2023,ASD,ammessi,Elenco degli ammessi - 1 - csv,
2023,ASD,ammessi,Elenco degli ammessi - 2,
2023,ASD,ammessi,Elenco degli ammessi - 2,
2023,ASD,esclusi,Elenco degli esclusi,
2023,ASD,esclusi,Elenco degli esclusi,
2023,Beni_culturali,esclusi,Elenchi ammessi ed esclusi per categoria,
2023,Beni_culturali,esclusi,Elenchi ammessi ed esclusi ONLUS,
2023,Beni_culturali,esclusi,Elenchi ammessi ed esclusi per categoria,
2023,Beni_culturali,ammessi,Elenco degli ammessi,
2023,Beni_culturali,ammessi,Elenco degli ammessi,
2023,Beni_culturali,esclusi,Elenco degli esclusi,
2023,Beni_culturali,esclusi,Elenco degli esclusi,
2023,Aree_protette,esclusi,Elenchi ammessi ed esclusi per categoria,
2023,Aree_protette,esclusi,Elenchi ammessi ed esclusi ONLUS,
2023,Aree_protette,esclusi,Elenchi ammessi ed esclusi per categoria,
2023,Aree_protette,ammessi,Elenco degli ammessi,
2023,Aree_protette,ammessi,Elenco degli ammessi,
2022,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi ONLUS,
2022,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 1 - pdf,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 1 - csv,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 2 - pdf,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 2 - csv,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 3 - pdf,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 3 - csv,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 4 - pdf,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 4 - csv,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 5 - pdf,
2022,ETS_ONLUS,ammessi,Elenco degli ammessi 5 - csv,
2022,ETS_ONLUS,esclusi,Elenco esclusi - pdf,
2022,ETS_ONLUS,esclusi,Elenco esclusi - csv,
2022,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,Ricerca_scientifica,esclusi,Elenco degli esclusi,
2022,Ricerca_scientifica,ammessi,Elenco degli ammessi,
2022,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,Ricerca_sanitaria,ammessi,Elenco degli ammessi,
2022,Comuni,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,Comuni,ammessi,Elenco ammessi,
2022,ASD,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,ASD,esclusi,Elenchi ammessi ed esclusi ONLUS,
2022,ASD,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,ASD,ammessi,Elenco ammessi,
2022,ASD,ammessi,Elenco ammessi,
2022,ASD,ammessi,Elenco ammessi 2,
2022,ASD,ammessi,Elenco ammessi 2,
2022,ASD,esclusi,Elenco esclusi,
2022,ASD,esclusi,Elenco esclusi,
2022,Beni_culturali,esclusi,Elenchi ammessi ed esclusi per categoria,
2022,Beni_culturali,ammessi,Elenco ammessi,
2022,Beni_culturali,esclusi,Elenco esclusi,
2021,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi,
2021,ETS_ONLUS,esclusi,Elenco degli esclusi,
2021,ETS_ONLUS,ammessi,Elenco degli ammessi - parte 1,
2021,ETS_ONLUS,ammessi,Elenco degli ammessi - parte 2,
2021,ETS_ONLUS,ammessi,Elenco degli ammessi - parte 3,
2021,ETS_ONLUS,ammessi,Elenco degli ammessi - parte 4,
2021,ETS_ONLUS,ammessi,Elenco degli ammessi - parte 5,
2021,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi,
2021,Ricerca_scientifica,esclusi,Elenco degli esclusi,
2021,Ricerca_scientifica,ammessi,Elenco degli ammessi,
2021,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi,
2021,Ricerca_sanitaria,ammessi,Elenco degli ammessi,
2021,Comuni,esclusi,Elenchi ammessi ed esclusi,
2021,Comuni,ammessi,Elenco ammessi,
2021,ASD,esclusi,Elenchi ammessi ed esclusi,
2021,ASD,ammessi,Elenco ammessi - pdf,
2021,ASD,esclusi,Elenco esclusi,
2021,Beni_culturali,esclusi,Elenchi ammessi ed esclusi,
2021,Beni_culturali,ammessi,Elenco ammessi,
2021,Beni_culturali,esclusi,Elenco esclusi,
2021,Aree_protette,esclusi,Elenchi ammessi ed esclusi,
2021,Aree_protette,esclusi,Elenchi ammessi ed esclusi - categoria volontariato,
2021,Aree_protette,esclusi,Elenchi ammessi ed esclusi,
2021,Aree_protette,ammessi,Elenco complessivo degli enti ammessi in una o più categorie di beneficiari,
2021,Aree_protette,ammessi,Elenco ammessi,
2020,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi,
2020,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi – categoria volontariato,
2020,ETS_ONLUS,ammessi,Elenco complessivo degli enti ammessi in una o più categorie di beneficiari,
2020,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi,
2020,ETS_ONLUS,esclusi,Elenco degli esclusi per importo,
2020,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - parte 1,
2020,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - parte 2,
2020,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - parte 3,
2020,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - parte 4,
2020,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - parte 5,
2020,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi,
2020,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi – categoria volontariato,
2020,Ricerca_scientifica,ammessi,Elenco complessivo degli enti ammessi in una o più categorie di beneficiari,
2020,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi,
2020,Ricerca_scientifica,esclusi,Elenco degli esclusi per importo,
2020,Ricerca_scientifica,ammessi,Elenco degli ammessi per importo,
2020,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi,
2020,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi – categoria volontariato,
2020,Ricerca_sanitaria,ammessi,Elenco complessivo degli enti ammessi in una o più categorie di beneficiari,
2020,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi,
2020,Ricerca_sanitaria,ammessi,Elenco degli ammessi per importo,
2020,Comuni,esclusi,Elenchi ammessi ed esclusi,
2020,Comuni,ammessi,Elenco degli ammessi per importo,
2020,ASD,esclusi,Elenchi ammessi ed esclusi,
2020,ASD,ammessi,Elenco degli ammessi per importo,
2020,ASD,esclusi,Elenco degli esclusi per importo,
2020,Beni_culturali,esclusi,Elenchi ammessi ed esclusi,
2020,Beni_culturali,esclusi,Elenco degli esclusi per importo,
2020,Beni_culturali,ammessi,Elenco degli ammessi per importo,
2020,Aree_protette,esclusi,Elenchi ammessi ed esclusi,
2020,Aree_protette,ammessi,Elenco degli ammessi per importo,
2019,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi,
2019,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 1 - pdf,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 1 - csv,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 2 - pdf,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 2 - csv,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 3 - pdf,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 3 - csv,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 4 - pdf,
2019,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 4 - csv,
2019,ETS_ONLUS,esclusi,Elenco degli esclusi per importo - pdf,
2019,ETS_ONLUS,esclusi,Elenco degli esclusi per importo - csv,
2019,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi,
2019,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi,
2019,Ricerca_scientifica,ammessi,Elenco degli ammessi per importo,
2019,Ricerca_scientifica,esclusi,Elenco degli esclusi per importo,
2019,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi,
2019,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi,
2019,Ricerca_sanitaria,ammessi,Elenco degli ammessi per importo sanitaria,
2019,Comuni,esclusi,Elenchi ammessi ed esclusi,
2019,Comuni,esclusi,Elenchi ammessi ed esclusi,
2019,Comuni,ammessi,Elenco degli ammessi per importo,
2019,ASD,esclusi,Elenchi ammessi ed esclusi,
2019,ASD,esclusi,Elenchi ammessi ed esclusi,
2019,ASD,ammessi,Elenco degli ammessi per importo,
2019,ASD,esclusi,Elenco degli esclusi per importo,
2019,Beni_culturali,esclusi,Elenchi ammessi ed esclusi,
2019,Beni_culturali,esclusi,Elenchi ammessi ed esclusi,
2019,Beni_culturali,ammessi,Elenco degli ammessi per importo,
2019,Beni_culturali,esclusi,Elenco degli esclusi per importo,
2019,Aree_protette,esclusi,Elenchi ammessi ed esclusi,
2019,Aree_protette,esclusi,Elenchi ammessi ed esclusi,
2019,Aree_protette,ammessi,Elenco degli ammessi per importo,
